VIDEO,MODEL_TYPE,LitterNET,frame_num,object_id,litter_present,litter_detected,conf
001,YOLOv11s,False,0,0,False,True,0.610089898109436
001,YOLOv11s,False,0,0,False,True,0.610089898109436
001,YOLOv11s,False,0,0,False,True,0.5652406215667725
001,YOLOv11s,False,0,0,False,True,0.7442365884780884
001,YOLOv11s,False,0,0,True,True,0.698310375213623
001,YOLOv11s,False,0,0,False,True,0.5354596376419067
001,YOLOv11s,False,0,0,False,True,0.7325625419616699
001,YOLOv11s,False,0,0,False,True,0.5977023243904114
002,YOLOv11s,False,0,0,False,True,0.6625736951828003
002,YOLOv11s,False,0,0,False,True,0.7043730020523071
002,YOLOv11s,False,0,0,True,True,0.8508694171905518
003,YOLOv11s,False,0,0,False,True,0.5699048042297363
003,YOLOv11s,False,0,1,False,True,0.5330784320831299
003,YOLOv11s,False,0,0,True,True,0.8056202530860901
003,YOLOv11s,False,0,0,True,True,0.9243881702423096
003,YOLOv11s,False,0,0,False,True,0.5267701148986816
004,YOLOv11s,False,0,0,True,True,0.8844549655914307
004,YOLOv11s,False,0,0,False,True,0.6223838329315186
004,YOLOv11s,False,0,0,False,True,0.8335337042808533
005,YOLOv11s,False,0,0,True,True,0.932702362537384
007,YOLOv11s,False,0,0,False,True,0.8129333257675171
007,YOLOv11s,False,0,0,False,True,0.7152292132377625
007,YOLOv11s,False,0,0,True,True,0.7630956172943115
008,YOLOv11s,False,0,0,True,True,0.8897753953933716
008,YOLOv11s,False,0,0,False,True,0.9163505434989929
008,YOLOv11s,False,0,0,False,True,0.8905385732650757
009,YOLOv11s,False,0,0,True,True,0.9048969149589539
