epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.126,1.29177,1.94895,1.52081,0.28918,0.37087,0.22185,0.13956,1.39842,2.35264,1.664,0.000665094,0.000665094,0.000665094
2,261.856,1.48344,1.91285,1.64679,0.47499,0.4257,0.40057,0.23469,1.51285,2.11579,1.81114,0.00128781,0.00128781,0.00128781
3,409.326,1.52134,1.91607,1.70738,0.48218,0.38985,0.39723,0.22742,1.55821,2.21981,1.84944,0.00186653,0.00186653,0.00186653
4,558.768,1.43943,1.87748,1.65734,0.55178,0.41036,0.44972,0.29386,1.38172,2.21556,1.6515,0.001802,0.001802,0.001802
5,710.183,1.38946,1.79047,1.61066,0.53223,0.4508,0.47036,0.31173,1.2451,1.83523,1.58224,0.001736,0.001736,0.001736
6,858.115,1.36928,1.70299,1.60216,0.5349,0.48996,0.48687,0.32222,1.25509,1.77624,1.60638,0.00167,0.00167,0.00167
7,1007.41,1.32395,1.63155,1.57528,0.64256,0.4488,0.52733,0.35678,1.22783,1.5805,1.54238,0.001604,0.001604,0.001604
8,1157.42,1.29098,1.63273,1.56289,0.66077,0.51305,0.55303,0.38185,1.16831,1.52814,1.50929,0.001538,0.001538,0.001538
9,1308.89,1.24738,1.5495,1.52,0.6453,0.51707,0.5649,0.39021,1.13034,1.54255,1.46611,0.001472,0.001472,0.001472
10,1459.67,1.22374,1.53858,1.51294,0.66501,0.50426,0.57517,0.41364,1.07205,1.62917,1.43627,0.001406,0.001406,0.001406
11,1610.49,1.21134,1.45793,1.48868,0.66461,0.51406,0.57225,0.39791,1.0261,1.41042,1.40664,0.00134,0.00134,0.00134
12,1773.16,1.16484,1.45189,1.4676,0.65558,0.54084,0.59065,0.43138,1.00855,1.36832,1.36826,0.001274,0.001274,0.001274
13,1920.23,1.14549,1.40199,1.45107,0.67074,0.5994,0.64518,0.47181,0.99198,1.25255,1.36106,0.001208,0.001208,0.001208
14,2072.82,1.14031,1.39766,1.45862,0.74401,0.56026,0.64448,0.47639,0.99599,1.22345,1.3696,0.001142,0.001142,0.001142
15,2221.89,1.06289,1.33016,1.3859,0.67374,0.59337,0.6511,0.48829,0.92586,1.22228,1.31964,0.001076,0.001076,0.001076
16,2372.9,1.09924,1.33493,1.41591,0.70682,0.59036,0.65995,0.49765,0.92397,1.19348,1.3185,0.00101,0.00101,0.00101
17,2525.69,1.05611,1.2698,1.3959,0.73037,0.56841,0.66159,0.50359,0.92934,1.22939,1.31002,0.000944,0.000944,0.000944
18,2679.23,1.04154,1.2397,1.37214,0.75604,0.56928,0.67054,0.50895,0.91267,1.16153,1.2917,0.000878,0.000878,0.000878
19,2828.01,1.03383,1.24913,1.37696,0.78625,0.58635,0.6823,0.52538,0.88908,1.14939,1.27443,0.000812,0.000812,0.000812
20,2976.76,1.00561,1.17372,1.34805,0.71629,0.6261,0.69122,0.536,0.87094,1.09951,1.26267,0.000746,0.000746,0.000746
21,3135.08,0.84362,1.09558,1.25763,0.77757,0.59137,0.68882,0.53283,0.85358,1.09399,1.26491,0.00068,0.00068,0.00068
22,3284.96,0.83003,1.00629,1.23804,0.73697,0.59639,0.67703,0.52391,0.85446,1.17813,1.25112,0.000614,0.000614,0.000614
23,3436.58,0.78864,0.97615,1.20871,0.7733,0.62249,0.71387,0.55452,0.82577,1.04546,1.23417,0.000548,0.000548,0.000548
24,3589.56,0.77911,0.92913,1.19855,0.76598,0.65261,0.72385,0.56298,0.83614,0.98589,1.25107,0.000482,0.000482,0.000482
25,3740.46,0.76724,0.90315,1.17756,0.78931,0.63353,0.72827,0.56843,0.81424,0.97945,1.22208,0.000416,0.000416,0.000416
26,3888.43,0.75438,0.88542,1.17071,0.80035,0.64799,0.73518,0.584,0.80763,1.00157,1.21051,0.00035,0.00035,0.00035
27,4038.35,0.70588,0.81914,1.13718,0.81506,0.63755,0.74235,0.5846,0.80086,0.93015,1.21457,0.000284,0.000284,0.000284
28,4189.44,0.70808,0.80277,1.13582,0.80202,0.65484,0.75111,0.59759,0.75928,0.92075,1.17776,0.000218,0.000218,0.000218
29,4342.89,0.68781,0.77402,1.12086,0.8127,0.65361,0.75069,0.59685,0.77745,0.91265,1.2005,0.000152,0.000152,0.000152
30,4491.25,0.67438,0.75616,1.12356,0.84003,0.63353,0.7562,0.60444,0.7543,0.88627,1.18023,8.6e-05,8.6e-05,8.6e-05
