epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,466.192,1.02078,0.91219,1.38085,0.73335,0.69416,0.75319,0.59379,0.91022,0.9993,1.30204,0.00066614,0.00066614,0.00066614
2,929.735,1.07812,1.00767,1.41486,0.76036,0.67119,0.74758,0.57188,0.92991,1.03589,1.32683,0.00130642,0.00130642,0.00130642
3,1436.5,1.11185,1.03824,1.44673,0.81306,0.67548,0.77019,0.58487,0.98196,1.008,1.35983,0.00192029,0.00192029,0.00192029
4,1956.01,1.14308,1.07835,1.46752,0.75671,0.69231,0.74663,0.58752,0.89216,1.01051,1.31179,0.0018812,0.0018812,0.0018812
5,4610.32,1.12487,1.08752,1.46173,0.83104,0.66346,0.75734,0.57919,0.94865,1.00122,1.35038,0.0018416,0.0018416,0.0018416
6,5285.74,1.11509,1.05586,1.45827,0.75402,0.69231,0.74143,0.5601,1.01133,1.0445,1.41475,0.001802,0.001802,0.001802
7,5860.24,1.11449,1.05951,1.46234,0.82525,0.64708,0.74306,0.56897,0.93772,1.09325,1.358,0.0017624,0.0017624,0.0017624
8,6320.7,1.11725,1.06374,1.45397,0.8358,0.64848,0.74739,0.57753,0.92187,1.0204,1.36707,0.0017228,0.0017228,0.0017228
9,6765.6,1.12373,1.05896,1.46362,0.79274,0.69471,0.7673,0.59548,0.91803,0.9562,1.31271,0.0016832,0.0016832,0.0016832
10,7231.06,1.10947,1.0541,1.45101,0.81642,0.66587,0.75017,0.57131,0.95406,1.06256,1.37858,0.0016436,0.0016436,0.0016436
11,7677.02,1.10131,1.04022,1.44464,0.74798,0.67065,0.74285,0.58153,0.91322,1.04889,1.32062,0.001604,0.001604,0.001604
12,8125.85,1.09258,1.03299,1.4433,0.77348,0.68948,0.74583,0.58348,0.88831,1.01219,1.31583,0.0015644,0.0015644,0.0015644
13,8645.45,1.08408,1.00955,1.42623,0.78196,0.66383,0.7576,0.60146,0.8735,0.97034,1.30907,0.0015248,0.0015248,0.0015248
14,9075.33,1.09382,1.01601,1.43775,0.8192,0.63702,0.74619,0.58805,0.86962,0.99283,1.30006,0.0014852,0.0014852,0.0014852
15,9497.13,1.07648,0.99372,1.41354,0.75569,0.69893,0.75139,0.59644,0.88313,1.0041,1.32693,0.0014456,0.0014456,0.0014456
16,10123.3,1.07289,0.99766,1.41748,0.79119,0.6649,0.74734,0.58504,0.90603,0.99151,1.32104,0.001406,0.001406,0.001406
17,10530,1.0695,0.98114,1.42075,0.81542,0.67067,0.76705,0.60911,0.88232,0.96756,1.30174,0.0013664,0.0013664,0.0013664
18,10957.2,1.05495,0.97292,1.40407,0.82955,0.66346,0.77056,0.60752,0.87157,0.94554,1.30757,0.0013268,0.0013268,0.0013268
19,11371.2,1.05654,0.97167,1.40727,0.77507,0.6958,0.76668,0.60419,0.88537,0.93668,1.27973,0.0012872,0.0012872,0.0012872
20,11790.6,1.05225,0.95703,1.40683,0.80819,0.67548,0.77057,0.61646,0.86749,0.95789,1.28153,0.0012476,0.0012476,0.0012476
21,12230.7,1.04492,0.94583,1.40455,0.82194,0.66346,0.76582,0.59854,0.88619,0.97299,1.29837,0.001208,0.001208,0.001208
22,12691.2,1.03583,0.92738,1.38989,0.81872,0.68269,0.76632,0.61525,0.86481,0.97689,1.28829,0.0011684,0.0011684,0.0011684
23,13349.7,1.04027,0.94716,1.39079,0.87363,0.63151,0.75521,0.60258,0.8558,0.97556,1.27965,0.0011288,0.0011288,0.0011288
24,13756,1.0263,0.93992,1.38483,0.77519,0.71154,0.7718,0.61011,0.88196,0.9605,1.3141,0.0010892,0.0010892,0.0010892
25,14342.5,1.02461,0.91507,1.38014,0.82396,0.68029,0.77135,0.61579,0.86083,0.95447,1.29854,0.0010496,0.0010496,0.0010496
26,14844.5,1.00528,0.91507,1.36547,0.79838,0.66631,0.7606,0.61401,0.82608,0.92877,1.27533,0.00101,0.00101,0.00101
27,15271,1.00822,0.90709,1.37413,0.82506,0.66887,0.77479,0.62848,0.82638,0.9229,1.26608,0.0009704,0.0009704,0.0009704
28,15686.5,1.01572,0.9224,1.3774,0.86935,0.65144,0.77536,0.62199,0.86408,0.93106,1.29477,0.0009308,0.0009308,0.0009308
29,16143.6,1.00137,0.89334,1.36124,0.82425,0.69897,0.7858,0.62675,0.82642,0.88737,1.2614,0.0008912,0.0008912,0.0008912
30,16579.1,0.99935,0.89282,1.35779,0.82528,0.65856,0.77028,0.62007,0.85135,0.90889,1.30092,0.0008516,0.0008516,0.0008516
31,19024.6,0.99401,0.88353,1.35965,0.81214,0.68269,0.78318,0.62684,0.84514,0.91185,1.29858,0.000812,0.000812,0.000812
32,19432.1,0.98783,0.8753,1.35442,0.79673,0.70665,0.77136,0.61176,0.86202,0.93067,1.31868,0.0007724,0.0007724,0.0007724
33,20961.6,0.98311,0.87204,1.34654,0.8488,0.65625,0.77587,0.61493,0.84906,0.90229,1.29571,0.0007328,0.0007328,0.0007328
34,21776.9,0.96885,0.87007,1.34826,0.82266,0.67067,0.77598,0.62217,0.82917,0.93159,1.28936,0.0006932,0.0006932,0.0006932
35,29190.5,0.97817,0.84719,1.34366,0.85456,0.64183,0.76947,0.62095,0.82607,0.93298,1.26706,0.0006536,0.0006536,0.0006536
36,30614.2,0.9663,0.83395,1.32664,0.85863,0.64241,0.77415,0.62135,0.83685,0.92868,1.28865,0.000614,0.000614,0.000614
37,31016.3,0.96682,0.82809,1.33687,0.82028,0.67308,0.76794,0.6128,0.8517,0.96773,1.32403,0.0005744,0.0005744,0.0005744
38,31430.6,0.95838,0.82167,1.32627,0.82115,0.66587,0.76894,0.61852,0.84394,0.91696,1.30498,0.0005348,0.0005348,0.0005348
39,31837,0.94769,0.82541,1.32031,0.78464,0.67788,0.76056,0.61691,0.81705,0.94109,1.28093,0.0004952,0.0004952,0.0004952
40,32289.1,0.94018,0.81368,1.31823,0.79862,0.69592,0.7668,0.62169,0.83098,0.92048,1.27394,0.0004556,0.0004556,0.0004556
41,32727.3,0.87579,0.6289,1.30196,0.83103,0.66205,0.76614,0.61879,0.82208,0.91381,1.29063,0.000416,0.000416,0.000416
42,33153.9,0.85061,0.60554,1.27535,0.86073,0.64423,0.77095,0.62136,0.81749,0.91231,1.26544,0.0003764,0.0003764,0.0003764
43,33577,0.85137,0.58985,1.27452,0.75538,0.72356,0.77157,0.62707,0.79603,0.91868,1.25259,0.0003368,0.0003368,0.0003368
44,34044.1,0.83792,0.58237,1.2654,0.79981,0.69148,0.77129,0.62638,0.8138,0.92153,1.27234,0.0002972,0.0002972,0.0002972
45,34714.4,0.83857,0.58084,1.26168,0.78332,0.71261,0.77815,0.63566,0.82092,0.88369,1.27974,0.0002576,0.0002576,0.0002576
46,35120,0.83232,0.56878,1.25527,0.82012,0.67067,0.77785,0.63098,0.80078,0.88218,1.26392,0.000218,0.000218,0.000218
47,35535.5,0.81434,0.55958,1.24006,0.85436,0.66278,0.77653,0.63271,0.80445,0.9057,1.25996,0.0001784,0.0001784,0.0001784
48,36124.8,0.8101,0.54914,1.24002,0.84056,0.67308,0.77446,0.62894,0.80954,0.8858,1.27353,0.0001388,0.0001388,0.0001388
49,36491.7,0.80665,0.55227,1.2368,0.86287,0.64904,0.77479,0.63226,0.80657,0.89631,1.27067,9.92e-05,9.92e-05,9.92e-05
50,37158.1,0.80927,0.54527,1.23587,0.85621,0.65385,0.77277,0.62883,0.80554,0.89764,1.26922,5.96e-05,5.96e-05,5.96e-05
